symbol,date,entry_time_et,entry_price,stop_loss,target,shares,exit_time_et,exit_price,exit_reason,pnl,pnl_pct,partial_taken,partial_price,partial_shares,partial_pnl,daily_range_pct,avg_volume_20d,qf_vwap_dist_pct,qf_gap_pct,qf_gap_fading,qf_spy_return_pct,qf_pole_bars,qf_pole_gain_pct,qf_fill_vwap_dist_pct,conviction_mult,macd_zone_mult,conv_pole_gain,conv_flag_tightness,conv_vol_ratio,conv_spy_regime,conv_retracement,conv_raw_score,spy_3d_range,conv_vwap_dist,conv_gap_fading,intraday_change_at_entry,bk_ratio_at_fill,spy_3d_at_fill,planned_entry,ke,kx,sp_e,sp_x,ex_shares,R_dollar,pnl_meas,covd,R_booked,R_meas,pct_booked,pct_meas,half
RPID,2025-02-24,10:31:00,3.04,2.99,3.13,18000.0,11:06:00,2.98,stop,-1063.71,-1.94,False,,0,0.0,20.41,583313,5.03,-1.56,False,0.02,2,7.36,5.54,3.0,1.8,0.3,0.3,0.3,0.0,0.2,3.3,1.059,0.2,0.0,20.41,2.142,1.059,,"('2025-02-24', 'RPID', 631)","('2025-02-24', 'RPID', 666)",0.0499999999999998,0.039032258064516,18000.0,899.9999999999968,-1431.8415166105003,True,-1.1819000000000042,-1.590935018456117,-1.9439144736842107,-2.616669438250183,H1-25
MSW,2025-02-27,09:47:00,5.09,4.8,5.59,16824.0,10:04:00,4.79,stop,-5042.15,-5.89,False,,0,0.0,24.41,420612,3.39,7.2,False,0.05,2,5.78,5.14,1.8,2.0,0.3,-0.3,0.3,0.3,0.0,1.8,1.271,0.2,0.0,17.78,0.147,1.271,,"('2025-02-27', 'MSW', 587)","('2025-02-27', 'MSW', 604)",0.1900000000000004,0.198125,16824.0,4878.960000000001,-7639.256022985077,True,-1.0334477019692718,-1.5657550016776272,-5.8880124473691335,-8.920804528222238,H1-25
PMA,2025-02-27,09:47:00,5.09,4.8,5.59,16824.0,10:04:00,4.79,stop,-5042.15,-5.89,False,,0,0.0,24.41,420612,3.39,7.2,False,0.05,2,5.78,5.14,1.8,2.0,0.3,-0.3,0.3,0.3,0.0,1.8,1.271,0.2,0.0,17.78,0.147,1.271,,"('2025-02-27', 'PMA', 587)","('2025-02-27', 'PMA', 604)",0.1900000000000004,0.198125,16824.0,4878.960000000001,-7639.256022985077,True,-1.0334477019692718,-1.5657550016776272,-5.8880124473691335,-8.920804528222238,H1-25
PCLA,2025-02-28,10:10:00,5.28,5.12,5.6,18000.0,10:16:00,5.1,stop,-3088.98,-3.25,False,,0,0.0,30.12,1782161,1.12,9.95,False,,2,5.0,1.62,1.9,1.8,0.3,0.0,0.3,0.3,0.0,1.9,1.668,0.0,0.0,41.89,0.393,1.668,,"('2025-02-28', 'PCLA', 610)","('2025-02-28', 'PCLA', 616)",,0.0700000000000002,18000.0,2880.0000000000027,-3443.5800000000017,False,-1.072562499999999,-1.1956874999999996,-3.250189393939394,-3.623295454545456,H1-25
STAK,2025-02-28,10:16:00,3.52,3.41,3.62,18000.0,10:40:00,3.59,trail_stop,1380.33,2.18,False,,0,0.0,44.6,869210,6.86,-0.83,False,,2,8.44,8.75,3.0,1.8,0.3,0.3,0.3,0.3,0.0,3.4,1.668,0.2,0.0,29.5,1.195,1.668,,"('2025-02-28', 'STAK', 616)","('2025-02-28', 'STAK', 640)",0.1,,18000.0,1979.9999999999977,795.5538805970095,False,0.6971363636363644,0.40179488919040934,2.178551136363636,1.2556090287200277,H1-25
MAXN,2025-03-04,10:04:00,3.22,3.1,3.47,10620.0,11:41:00,3.09,stop,-1343.39,-3.93,False,,0,0.0,26.49,295043,9.16,0.29,False,,3,6.73,9.53,2.1,1.8,0.3,0.0,0.3,0.3,0.0,2.1,2.468,0.2,0.0,28.73,2.319,2.468,,"('2025-03-04', 'MAXN', 604)","('2025-03-04', 'MAXN', 701)",0.0610191082802547,0.0588888888888888,10620.0,1274.4000000000012,-1711.5227216845747,True,-1.0541352793471428,-1.3430027634059738,-3.9284544571943245,-5.00497924250674,H1-25
EWCZ,2025-03-11,09:56:00,4.13,3.97,4.48,15233.0,12:28:00,4.4,trail_stop,4064.51,6.46,False,,0,0.0,67.26,423153,8.44,-46.77,False,,2,49.63,6.14,3.0,1.8,0.0,0.3,0.3,0.3,0.2,3.3,2.118,0.2,0.0,51.08,3.756,2.118,,"('2025-03-11', 'EWCZ', 596)","('2025-03-11', 'EWCZ', 748)",0.0178222996515684,0.0199999999999995,15233.0,2437.279999999995,4290.508522365522,True,1.6676417974135136,1.7603675090123132,6.4605977623767945,6.819825700774082,H1-25
KBSX,2025-03-19,10:07:00,3.87,3.7,4.25,18000.0,10:17:00,4.79,exhaust+trail_stop,16561.72,23.78,False,,0,0.0,41.5,2714018,1.25,-36.25,False,,2,10.83,1.78,2.6,1.8,0.0,0.0,0.3,0.3,0.0,2.6,1.537,0.0,0.0,21.33,0.829,1.537,,"('2025-03-19', 'KBSX', 607)","('2025-03-19', 'KBSX', 617)",0.0648387096774193,0.0579661016949153,18000.0,3059.9999999999986,16061.70386182809,True,5.4123267973856235,5.248922830662777,23.775078954923917,23.057283752265416,H1-25
OM,2025-03-20,10:26:00,10.02,9.66,10.79,13043.0,10:36:00,11.27,trail_stop,16321.75,12.49,False,,0,0.0,47.96,1110199,9.25,1322.62,False,,2,7.1,9.14,2.3,1.8,0.3,0.0,0.3,0.3,0.2,2.3,1.345,0.2,0.0,1706.45,2.508,1.345,,"('2025-03-20', 'OM', 626)","('2025-03-20', 'OM', 636)",0.2293939393939396,0.2702898550724636,13043.0,4695.479999999992,14154.249247969416,True,3.4760556961162705,3.014441387881418,12.488822860297958,10.830328339693699,H1-25
TITN,2025-03-20,09:44:00,15.34,14.57,16.85,8307.0,12:04:00,17.09,exhaust+trail_stop,15668.38,12.3,False,,0,0.0,39.6,230755,8.5,-15.14,False,,2,11.12,9.1,2.5,1.8,0.0,0.0,0.0,0.3,0.0,2.5,1.345,0.2,0.0,24.72,1.144,1.345,,"('2025-03-20', 'TITN', 584)","('2025-03-20', 'TITN', 724)",0.1611627906976744,0.0792537313432832,8307.0,6396.389999999997,15729.686880628247,True,2.4495660833689015,2.459150689784121,12.295735881317164,12.343846356804253,H1-25
